time,instrument,price,signal,strike,score,confidence,regime,manual_guidance,signal_valid_till,blockers,cautions,score_factors,reason,strike_reason
2026-04-07 04:55:00.821899,NIFTY,22804.65,NO_TRADE,,30,LOW,NO_TRADE_WINDOW,HIGH RISK,,time_filter,,"price_below_vwap, bearish_pressure",Trade not allowed (time filter) | score=30,
2026-04-07 05:00:00.187374,NIFTY,22889.85,NO_TRADE,,60,LOW,EXPIRY_DAY,WAIT,,"expiry_opening_whipsaw_window, expiry_requires_medium_plus_confidence, expiry_too_far_from_vwap, expiry_opposite_pressure","opening_session, opposite_pressure, expiry_day_mode","price_above_vwap, bullish_oi_bias, bullish_oi_trend, bullish_build_up, strong_volume",Expiry filter blocked trade | score=60,
2026-04-07 05:05:00.447538,NIFTY,22860.2,NO_TRADE,,55,LOW,EXPIRY_DAY,WAIT,,"expiry_opening_whipsaw_window, expiry_requires_medium_plus_confidence","opening_session, expiry_day_mode","price_below_vwap, bearish_build_up, bearish_pressure, strong_volume",Expiry filter blocked trade | score=55,
2026-04-07 05:10:00.749101,NIFTY,22854.9,NO_TRADE,,68,MEDIUM,EXPIRY_DAY,WAIT,,expiry_opening_whipsaw_window,"opening_session, expiry_day_mode","price_below_vwap, bearish_oi_bias, bearish_oi_trend, bearish_build_up, bearish_pressure, normal_volume",Expiry filter blocked trade | score=68,
2026-04-07 05:15:01.449373,NIFTY,22802.4,NO_TRADE,,58,LOW,EXPIRY_DAY,WAIT,,"expiry_requires_medium_plus_confidence, expiry_too_far_from_vwap","near_support, expiry_day_mode","price_below_vwap, bearish_oi_bias, bearish_build_up, bearish_pressure, normal_volume",Expiry filter blocked trade | score=58,
2026-04-07 05:20:00.812002,NIFTY,22817.8,NO_TRADE,,48,LOW,EXPIRY_DAY,WAIT,,expiry_requires_medium_plus_confidence,"near_support, expiry_day_mode","price_below_vwap, bearish_oi_trend, bearish_pressure, normal_volume",Expiry filter blocked trade | score=48,
2026-04-07 05:25:00.574310,NIFTY,22840.5,NO_TRADE,,33,LOW,CHOPPY,HIGH RISK,,pressure_neutral,,"price_below_vwap, bearish_oi_trend, normal_volume",Pressure not aligned | score=33,
2026-04-07 05:30:00.855158,NIFTY,22887.55,NO_TRADE,,8,LOW,EXPIRY_DAY,WAIT,,expiry_requires_medium_plus_confidence,expiry_day_mode,"balanced_directional_signals, normal_volume",Expiry filter blocked trade | score=8,
2026-04-07 05:35:00.946820,NIFTY,22913.75,NO_TRADE,,53,LOW,EXPIRY_DAY,WAIT,,"expiry_requires_medium_plus_confidence, expiry_too_far_from_vwap, expiry_opposite_pressure","opposite_pressure, expiry_day_mode","price_above_vwap, bullish_oi_bias, bullish_oi_trend, bullish_build_up, normal_volume",Expiry filter blocked trade | score=53,
2026-04-07 05:40:00.235057,NIFTY,22898.35,NO_TRADE,,43,LOW,EXPIRY_DAY,WAIT,,expiry_requires_medium_plus_confidence,expiry_day_mode,"bearish_oi_bias, bearish_build_up, bearish_pressure, normal_volume",Expiry filter blocked trade | score=43,
